index,id,incognito,browser_id,visit_id,old_request_url,old_request_id,new_request_url,new_request_id,extension_session_uuid,event_ordinal,window_id,tab_id,frame_id,response_status,response_status_text,headers,time_stamp
0,1,0,3927562032,5902464393628135,http://www.travelandleisure.com/,15,https://www.travelandleisure.com/,,535bb971-19e4-49cc-b674-43fd42890745,2,1,1,0,301,HTTP/1.1 301 Moved Permanently,"[[""Content-Type"",""text/plain; charset=utf-8""],[""Content-Length"",""67""],[""Connection"",""keep-alive""],[""Date"",""Fri, 09 Jul 2021 19:00:27 GMT""],[""Server"",""nginx""],[""X-Powered-By"",""Element""],[""Location"",""https://www.travelandleisure.com/""],[""X-Cache"",""Miss from cloudfront""],[""Via"",""1.1 7cb59126b643ca570c430a8005b7ae89.cloudfront.net (CloudFront)""],[""X-Amz-Cf-Pop"",""MSP50-C1""],[""X-Amz-Cf-Id"",""tXTZh6LQ5YiwaiaZZ4PMB4BsC1f0UXjAipocqodhHqOUsT0hvavVwQ==""]]",2021-07-09T19:00:27.507Z
1,2,0,3927562032,5902464393628135,https://sb.scorecardresearch.com/c2/6035728/cs.js,160,https://sb.scorecardresearch.com/internal-c2/default/cs.js,,535bb971-19e4-49cc-b674-43fd42890745,1196,1,1,0,302,HTTP/2.0 302 Found,"[[""content-type"",""text/plain; charset=utf-8""],[""content-length"",""48""],[""date"",""Fri, 09 Jul 2021 19:00:51 GMT""],[""location"",""/internal-c2/default/cs.js""],[""vary"",""Accept""],[""x-cache"",""Miss from cloudfront""],[""via"",""1.1 a9181c299f9da479c96bac491cac6e30.cloudfront.net (CloudFront)""],[""x-amz-cf-pop"",""MSP50-C2""],[""x-amz-cf-id"",""PUFRORzQ4YEmyIMOwEDylWsq2D3iGzCmGdYvOJdoGT9vf2ErNWy0Hw==""],[""X-Firefox-Spdy"",""h2""]]",2021-07-09T19:00:52.103Z
2,3,0,3927562032,5902464393628135,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=gg_n-index_snb_ox-db5_dm_cnv_dmx_n-sharethrough_pm-db5_ym_rbd_n-emx_ppt_n-vmg_kg_an-db5_3lift,155,https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=gg_n-index_snb_ox-db5_dm_cnv_dmx_n-sharethrough_pm-db5_ym_rbd_n-emx_ppt_n-vmg_kg_an-db5_3lift&dcc=t,,535bb971-19e4-49cc-b674-43fd42890745,1230,1,1,2147483657,302,HTTP/1.1 302 Found,"[[""Server"",""Server""],[""Date"",""Fri, 09 Jul 2021 19:00:52 GMT""],[""Content-Length"",""0""],[""Connection"",""keep-alive""],[""Cache-Control"",""max-age=0, no-cache, no-store, private, must-revalidate, s-maxage=0""],[""Pragma"",""no-cache""],[""Expires"",""Thu, 01 Jan 1970 00:00:00 GMT""],[""p3p"",""policyref=\""https://www.amazon.com/w3c/p3p.xml\"", CP=\""PSAo PSDo OUR SAM OTR DSP COR\""""],[""Location"",""https://s.amazon-adsystem.com/iu3?cm3ppd=1&d=dtb-pub&csif=t&dl=gg_n-index_snb_ox-db5_dm_cnv_dmx_n-sharethrough_pm-db5_ym_rbd_n-emx_ppt_n-vmg_kg_an-db5_3lift&dcc=t""],[""Set-Cookie"",""ad-id=A4ernugieEhAlhO36u6gQlM|t; Domain=.amazon-adsystem.com; Expires=Fri, 01-Apr-2022 19:00:52 GMT; Path=/; Secure; HttpOnly; SameSite=None""],[""Vary"",""User-Agent""]]",2021-07-09T19:00:52.733Z
3,4,0,3927562032,5902464393628135,https://sofia.trustx.org/push_sync,226,https://sofia.trustx.org/ul_cb/push_sync,,535bb971-19e4-49cc-b674-43fd42890745,1518,1,1,0,302,HTTP/1.1 302 Moved Temporarily,"[[""Server"",""nginx""],[""Date"",""Fri, 09 Jul 2021 19:01:01 GMT""],[""Content-Length"",""0""],[""Connection"",""keep-alive""],[""Cache-Control"",""no-cache, no-store, must-revalidate""],[""Location"",""https://sofia.trustx.org/ul_cb/push_sync""],[""P3P"",""CP=\""NOI DSP COR NID CURa ADMa DEVa PSAa PSDa OUR BUS COM INT OTC PUR STA\""""],[""Set-Cookie"",""tuuid=e7c36441-10f8-4e11-aac0-3f6679a70a19; path=/; expires=Sun, 09-Jul-2023 19:01:01 GMT\nc=1625857261; path=/; expires=Sun, 09-Jul-2023 19:01:01 GMT\ntuuid_lu=1625857261; path=/; expires=Sun, 09-Jul-2023 19:01:01 GMT""]]",2021-07-09T19:01:01.211Z
4,5,0,3927562032,5902464393628135,https://x.bidswitch.net/sync?ssp=themediagrid,225,https://x.bidswitch.net/ul_cb/sync?ssp=themediagrid,,535bb971-19e4-49cc-b674-43fd42890745,1527,1,1,0,302,HTTP/1.1 302 Moved Temporarily,"[[""Server"",""nginx""],[""Date"",""Fri, 09 Jul 2021 19:01:01 GMT""],[""Content-Length"",""0""],[""Connection"",""keep-alive""],[""Cache-Control"",""no-cache, no-store, must-revalidate""],[""Location"",""https://x.bidswitch.net/ul_cb/sync?ssp=themediagrid""],[""Set-Cookie"",""tuuid=50ed2d1b-7b90-41b9-9c8b-6de6bfe5c104; path=/; expires=Sat, 09-Jul-2022 19:01:01 GMT; domain=.bidswitch.net; samesite=none; secure\nc=1625857261; path=/; expires=Sat, 09-Jul-2022 19:01:01 GMT; domain=.bidswitch.net; samesite=none; secure\ntuuid_lu=1625857261; path=/; expires=Sat, 09-Jul-2022 19:01:01 GMT; domain=.bidswitch.net; samesite=none; secure\nc=1625857261; path=/; expires=Sat, 09-Jul-2022 19:01:01 GMT; domain=.bidswitch.net; samesite=none; secure""]]",2021-07-09T19:01:01.669Z
5,6,0,3927562032,5902464393628135,https://cm.g.doubleclick.net/pixel?google_nid=casale_media2_dsp_secure&google_cm&google_dbm,236,https://dsum-sec.casalemedia.com/rum?cm_dsp_id=45&external_user_id=CAESENt7yS_oCXrKvVjVkMYpG7U&google_cver=1,,535bb971-19e4-49cc-b674-43fd42890745,1542,1,1,2147483658,302,HTTP/2.0 302 Found,"[[""p3p"",""policyref=\""https://googleads.g.doubleclick.net/pagead/gcn_p3p_.xml\"", CP=\""CURa ADMa DEVa TAIo PSAo PSDo OUR IND UNI PUR INT DEM STA PRE COM NAV OTC NOI DSP COR\""""],[""location"",""https://dsum-sec.casalemedia.com/rum?cm_dsp_id=45&external_user_id=CAESENt7yS_oCXrKvVjVkMYpG7U&google_cver=1""],[""date"",""Fri, 09 Jul 2021 19:01:02 GMT""],[""pragma"",""no-cache""],[""expires"",""Fri, 01 Jan 1990 00:00:00 GMT""],[""cache-control"",""no-cache, must-revalidate""],[""cross-origin-resource-policy"",""cross-origin""],[""content-type"",""text/html; charset=UTF-8""],[""server"",""HTTP server (unknown)""],[""content-length"",""313""],[""x-xss-protection"",""0""],[""alt-svc"",""h3=\"":443\""; ma=2592000,h3-29=\"":443\""; ma=2592000,h3-T051=\"":443\""; ma=2592000,h3-Q050=\"":443\""; ma=2592000,h3-Q046=\"":443\""; ma=2592000,h3-Q043=\"":443\""; ma=2592000,quic=\"":443\""; ma=2592000; v=\""46,43\""""],[""X-Firefox-Spdy"",""h2""]]",2021-07-09T19:01:02.987Z
6,7,0,3927562032,5902464393628135,https://cm.g.doubleclick.net/pixel?google_nid=appnexus&google_cm&google_dbm,238,https://ib.adnxs.com/setuid?entity=101&code=CAESEKr7V6JyMZqL-v8zTjIFvPE&google_cver=1,,535bb971-19e4-49cc-b674-43fd42890745,1543,1,1,2147483658,302,HTTP/2.0 302 Found,"[[""p3p"",""policyref=\""https://googleads.g.doubleclick.net/pagead/gcn_p3p_.xml\"", CP=\""CURa ADMa DEVa TAIo PSAo PSDo OUR IND UNI PUR INT DEM STA PRE COM NAV OTC NOI DSP COR\""""],[""location"",""https://ib.adnxs.com/setuid?entity=101&code=CAESEKr7V6JyMZqL-v8zTjIFvPE&google_cver=1""],[""date"",""Fri, 09 Jul 2021 19:01:02 GMT""],[""pragma"",""no-cache""],[""expires"",""Fri, 01 Jan 1990 00:00:00 GMT""],[""cache-control"",""no-cache, must-revalidate""],[""cross-origin-resource-policy"",""cross-origin""],[""content-type"",""text/html; charset=UTF-8""],[""server"",""HTTP server (unknown)""],[""content-length"",""290""],[""x-xss-protection"",""0""],[""alt-svc"",""h3=\"":443\""; ma=2592000,h3-29=\"":443\""; ma=2592000,h3-T051=\"":443\""; ma=2592000,h3-Q050=\"":443\""; ma=2592000,h3-Q046=\"":443\""; ma=2592000,h3-Q043=\"":443\""; ma=2592000,quic=\"":443\""; ma=2592000; v=\""46,43\""""],[""X-Firefox-Spdy"",""h2""]]",2021-07-09T19:01:03.011Z
7,8,0,3927562032,5902464393628135,https://dsum-sec.casalemedia.com/rrum?ixi=0&cm_dsp_id=85&cb=https%3A%2F%2Fcm.g.doubleclick.net%2Fpixel%3Fgoogle_nid%3Dcasale_media2_dsp_secure%26google_cm%26google_hm%3D,237,https://cm.g.doubleclick.net/pixel?google_nid=casale_media2_dsp_secure&google_cm&google_hm=YOic0zGSR2CIeCSOwgl0aAAA,,535bb971-19e4-49cc-b674-43fd42890745,1566,1,1,2147483658,302,HTTP/1.1 302 Moved Temporarily,"[[""Server"",""Apache""],[""Content-Length"",""307""],[""Content-Type"",""text/html; charset=iso-8859-1""],[""Location"",""https://cm.g.doubleclick.net/pixel?google_nid=casale_media2_dsp_secure&google_cm&google_hm=YOic0zGSR2CIeCSOwgl0aAAA""],[""P3p"",""policyref=\""/w3c/p3p.xml\"", CP=\""NOI DSP COR DEVa TAIa OUR BUS UNI\""""],[""Expires"",""Fri, 09 Jul 2021 19:01:03 GMT""],[""Cache-Control"",""max-age=0, no-cache, no-store""],[""Pragma"",""no-cache""],[""Date"",""Fri, 09 Jul 2021 19:01:03 GMT""],[""Connection"",""keep-alive""],[""Set-Cookie"",""CMID=YOic0zGSR2CIeCSOwgl0aAAA;domain=casalemedia.com;path=/;expires=Sat, 09 Jul 2022 19:01:03 GMT\nCMPS=1061;domain=casalemedia.com;path=/;expires=Thu, 07 Oct 2021 19:01:03 GMT\nCMPRO=807;domain=casalemedia.com;path=/;expires=Thu, 07 Oct 2021 19:01:03 GMT\nCMST=YOic02DonO8B;domain=casalemedia.com;path=/;expires=Sat, 10 Jul 2021 19:01:03 GMT\nCMDD=AAQy6wE*;domain=casalemedia.com;path=/;expires=Sat, 10 Jul 2021 19:01:03 GMT\nCMRUM3=2d60e89cef2760;domain=casalemedia.com;path=/;expires=Sat, 09 Jul 2022 19:01:03 GMT""]]",2021-07-09T19:01:03.314Z
8,9,0,3927562032,5902464393628135,https://ib.adnxs.com/getuid?https://cm.g.doubleclick.net/pixel?google_nid=appnexus&google_hm=${BASE64_UID_ENC},239,https://cm.g.doubleclick.net/pixel?google_nid=appnexus&google_hm=NzA0NjU1OTkwMDc4ODc1MzcwMA%3D%3D,,535bb971-19e4-49cc-b674-43fd42890745,1568,1,1,2147483658,302,HTTP/1.1 302 Found,"[[""Server"",""nginx/1.17.9""],[""Date"",""Fri, 09 Jul 2021 19:01:03 GMT""],[""Content-Type"",""text/html; charset=utf-8""],[""Content-Length"",""0""],[""Connection"",""keep-alive""],[""Cache-Control"",""no-store, no-cache, private""],[""Pragma"",""no-cache""],[""Expires"",""Sat, 15 Nov 2008 16:00:00 GMT""],[""P3P"",""policyref=\""http://cdn.adnxs-simple.com/w3c/policy/p3p.xml\"", CP=\""NOI DSP COR ADM PSAo PSDo OURo SAMo UNRo OTRo BUS COM NAV DEM STA PRE\""""],[""X-XSS-Protection"",""0""],[""Access-Control-Allow-Credentials"",""true""],[""Access-Control-Allow-Origin"",""*""],[""Location"",""https://cm.g.doubleclick.net/pixel?google_nid=appnexus&google_hm=NzA0NjU1OTkwMDc4ODc1MzcwMA%3D%3D""],[""AN-X-Request-Uuid"",""65b18cca-e134-4250-b0aa-5776276d6274""],[""Set-Cookie"",""uuid2=7046559900788753700; SameSite=None; Path=/; Max-Age=7776000; Expires=Thu, 07-Oct-2021 19:01:03 GMT; Domain=.adnxs.com; Secure; HttpOnly""],[""X-Proxy-Origin"",""50.81.231.37; 50.81.231.37; 554.bm-nginx-loadbalancer.mgmt.nym2; adnxs.com""]]",2021-07-09T19:01:03.445Z
9,10,0,3927562032,5902464393628135,https://sofia.trustx.org/ul_cb/push_sync,226,https://sync.mathtag.com/sync/img?mt_exid=89&redir=https%3A%2F%2Fsofia.trustx.org%2Fsync%3Ftp_id%3D12%26tp_uid%3D%5BMM_UUID%5D%26ssp_custom_data%3d,,535bb971-19e4-49cc-b674-43fd42890745,1598,1,1,0,302,HTTP/1.1 302 Moved Temporarily,"[[""Server"",""nginx""],[""Date"",""Fri, 09 Jul 2021 19:01:04 GMT""],[""Content-Length"",""0""],[""Connection"",""keep-alive""],[""Cache-Control"",""no-cache, no-store, must-revalidate""],[""Location"",""https://sync.mathtag.com/sync/img?mt_exid=89&redir=https%3A%2F%2Fsofia.trustx.org%2Fsync%3Ftp_id%3D12%26tp_uid%3D%5BMM_UUID%5D%26ssp_custom_data%3d""],[""P3P"",""CP=\""NOI DSP COR NID CURa ADMa DEVa PSAa PSDa OUR BUS COM INT OTC PUR STA\""""],[""Set-Cookie"",""tuuid=e7c36441-10f8-4e11-aac0-3f6679a70a19; path=/; expires=Sun, 09-Jul-2023 19:01:04 GMT\ntuuid_lu=1625857264; path=/; expires=Sun, 09-Jul-2023 19:01:04 GMT""]]",2021-07-09T19:01:04.203Z
