index,id,browser_id,visit_id,extension_session_uuid,event_ordinal,record_type,change_cause,expiry,is_http_only,is_host_only,is_session,host,is_secure,name,path,value,same_site,first_party_domain,store_id,time_stamp
0,1,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,35,added-or-changed,explicit,2023-07-09T19:00:31.000Z,0,1,0,www.travelandleisure.com,0,muuid_origin,/,travelandleisure.com,no_restriction,,firefox-default,2021-07-09T19:00:31.270Z
1,2,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,36,added-or-changed,explicit,2023-07-09T19:00:31.000Z,0,1,0,www.travelandleisure.com,0,globalTI_SID,/,85ff70bc-27ad-4c08-9a86-3387cead117e,no_restriction,,firefox-default,2021-07-09T19:00:31.275Z
2,3,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,37,added-or-changed,explicit,2023-07-09T19:00:31.000Z,0,1,0,www.travelandleisure.com,0,muuid_source,/,CLIENT,no_restriction,,firefox-default,2021-07-09T19:00:31.290Z
3,4,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,38,added-or-changed,explicit,2022-08-08T19:00:31.000Z,0,1,0,www.travelandleisure.com,0,_cb_ls,/,1,no_restriction,,firefox-default,2021-07-09T19:00:31.852Z
4,5,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,52,added-or-changed,explicit,9999-12-31T21:59:59.000Z,0,0,1,.travelandleisure.com,0,__tld__,/,1,no_restriction,,firefox-default,2021-07-09T19:00:32.658Z
5,6,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,53,deleted,explicit,9999-12-31T21:59:59.000Z,0,0,1,.travelandleisure.com,0,__tld__,/,1,no_restriction,,firefox-default,2021-07-09T19:00:32.676Z
6,7,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,54,added-or-changed,explicit,2022-07-09T19:00:32.000Z,0,0,0,.travelandleisure.com,0,ajs%3Atest,/,true,lax,,firefox-default,2021-07-09T19:00:32.679Z
7,8,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,55,deleted,explicit,2022-07-09T19:00:32.000Z,0,0,0,.travelandleisure.com,0,ajs%3Atest,/,true,lax,,firefox-default,2021-07-09T19:00:32.697Z
8,9,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,56,added-or-changed,explicit,2022-07-09T19:00:32.000Z,0,0,0,.travelandleisure.com,0,ajs%3Acookies,/,true,lax,,firefox-default,2021-07-09T19:00:32.721Z
9,10,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,57,deleted,explicit,2022-07-09T19:00:32.000Z,0,0,0,.travelandleisure.com,0,ajs%3Acookies,/,true,lax,,firefox-default,2021-07-09T19:00:32.765Z
10,11,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,58,added-or-changed,explicit,2022-07-09T19:00:32.000Z,0,0,0,.travelandleisure.com,0,ajs%3Acookies,/,true,lax,,firefox-default,2021-07-09T19:00:32.793Z
11,12,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,59,deleted,explicit,2022-07-09T19:00:32.000Z,0,0,0,.travelandleisure.com,0,ajs%3Acookies,/,true,lax,,firefox-default,2021-07-09T19:00:32.794Z
12,13,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,60,added-or-changed,explicit,9999-12-31T21:59:59.000Z,0,0,1,.travelandleisure.com,0,__tld__,/,1,no_restriction,,firefox-default,2021-07-09T19:00:32.802Z
13,14,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,61,deleted,explicit,9999-12-31T21:59:59.000Z,0,0,1,.travelandleisure.com,0,__tld__,/,1,no_restriction,,firefox-default,2021-07-09T19:00:32.834Z
14,15,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,62,added-or-changed,explicit,2022-07-09T19:00:32.000Z,0,0,0,.travelandleisure.com,0,ajs%3Atest,/,true,lax,,firefox-default,2021-07-09T19:00:32.835Z
15,16,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,63,deleted,explicit,2022-07-09T19:00:32.000Z,0,0,0,.travelandleisure.com,0,ajs%3Atest,/,true,lax,,firefox-default,2021-07-09T19:00:32.836Z
16,17,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,64,added-or-changed,explicit,9999-12-31T21:59:59.000Z,0,0,1,.travelandleisure.com,0,__tld__,/,1,no_restriction,,firefox-default,2021-07-09T19:00:32.857Z
17,18,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,65,deleted,explicit,9999-12-31T21:59:59.000Z,0,0,1,.travelandleisure.com,0,__tld__,/,1,no_restriction,,firefox-default,2021-07-09T19:00:32.866Z
18,19,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,66,added-or-changed,explicit,2022-07-09T19:00:32.000Z,0,0,0,.travelandleisure.com,0,ajs%3Atest,/,true,lax,,firefox-default,2021-07-09T19:00:32.872Z
19,20,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,67,deleted,explicit,2022-07-09T19:00:32.000Z,0,0,0,.travelandleisure.com,0,ajs%3Atest,/,true,lax,,firefox-default,2021-07-09T19:00:32.877Z
20,21,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,71,added-or-changed,explicit,2021-08-08T19:00:33.000Z,0,0,0,.travelandleisure.com,0,TI_PREFS,/,default,no_restriction,,firefox-default,2021-07-09T19:00:33.596Z
21,22,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,79,added-or-changed,explicit,2022-07-09T19:00:34.000Z,0,0,0,.travelandleisure.com,0,ajs_anonymous_id,/,%227af5714f-9da1-43c6-8f56-81d529eb936a%22,lax,,firefox-default,2021-07-09T19:00:34.714Z
22,23,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,82,added-or-changed,explicit,2021-08-08T19:00:34.000Z,0,1,0,www.travelandleisure.com,0,_pbjs_userid_consent_data,/,3524755945110770,lax,,firefox-default,2021-07-09T19:00:34.848Z
23,24,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,96,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,1,0,www.travelandleisure.com,0,last_request_id,/,,no_restriction,,firefox-default,2021-07-09T19:00:35.431Z
24,25,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,97,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,1,0,www.travelandleisure.com,0,request_id,/,4bd891f7-5e8f-41cc-8bce-3df8c150c738,no_restriction,,firefox-default,2021-07-09T19:00:35.433Z
25,26,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,98,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,1,0,www.travelandleisure.com,0,previous_ts,/,,no_restriction,,firefox-default,2021-07-09T19:00:35.442Z
26,27,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,99,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,1,0,www.travelandleisure.com,0,visit_ts,/,1625857235432,no_restriction,,firefox-default,2021-07-09T19:00:35.444Z
27,28,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,100,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,1,0,www.travelandleisure.com,0,pageview_count,/,1,no_restriction,,firefox-default,2021-07-09T19:00:35.445Z
28,29,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,124,deleted,overwrite,2022-07-09T19:00:35.000Z,0,0,0,.travelandleisure.com,0,ajs_anonymous_id,/,%227af5714f-9da1-43c6-8f56-81d529eb936a%22,lax,,firefox-default,2021-07-09T19:00:35.866Z
29,30,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,125,added-or-changed,explicit,2022-07-09T19:00:35.000Z,0,0,0,.travelandleisure.com,0,ajs_anonymous_id,/,%227af5714f-9da1-43c6-8f56-81d529eb936a%22,lax,,firefox-default,2021-07-09T19:00:35.866Z
30,31,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,127,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,0,0,.travelandleisure.com,0,globalTI_SID,/,85ff70bc-27ad-4c08-9a86-3387cead117e,no_restriction,,firefox-default,2021-07-09T19:00:35.898Z
31,32,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,128,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,0,0,.travelandleisure.com,0,last_request_id,/,,no_restriction,,firefox-default,2021-07-09T19:00:35.899Z
32,33,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,129,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,0,0,.travelandleisure.com,0,visit_ts,/,1625857235432,no_restriction,,firefox-default,2021-07-09T19:00:35.899Z
33,34,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,130,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,0,0,.travelandleisure.com,0,previous_ts,/,,no_restriction,,firefox-default,2021-07-09T19:00:35.902Z
34,35,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,131,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,0,0,.travelandleisure.com,0,pageview_count,/,1,no_restriction,,firefox-default,2021-07-09T19:00:35.902Z
35,36,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,132,added-or-changed,explicit,2023-07-09T19:00:35.000Z,0,0,0,.travelandleisure.com,0,muuid_origin,/,travelandleisure.com,no_restriction,,firefox-default,2021-07-09T19:00:35.903Z
36,37,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,133,added-or-changed,explicit,2022-07-09T19:00:35.000Z,0,0,0,.casalemedia.com,0,CMID,/,YOic0zGSR2CIeCSOwgl0aAAA,no_restriction,,firefox-default,2021-07-09T19:00:35.919Z
37,38,3927562032,5902464393628135,535bb971-19e4-49cc-b674-43fd42890745,134,added-or-changed,explicit,2021-07-10T19:00:35.000Z,0,0,0,.casalemedia.com,0,CMST,/,YOic02DonNMB,no_restriction,,firefox-default,2021-07-09T19:00:35.919Z
