index,id,browser_id,visit_id,extension_session_uuid,event_ordinal,record_type,change_cause,expiry,is_http_only,is_host_only,is_session,host,is_secure,name,path,value,same_site,first_party_domain,store_id,time_stamp
0,1,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,2,added-or-changed,explicit,9999-12-31T21:59:59.000Z,0,1,1,www.ncl.com,0,akaalb_www_ncl_alb,/,~op=www_prod_new:prod_www_new|~rv=40~m=prod_www_new:0|~os=5041aa2c50a20f17379585bbefdfedb9~id=5b7aaf5a0d0188d018ed8afdec569ea7,no_restriction,,firefox-default,2021-07-12T09:37:11.114Z
1,2,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,3,added-or-changed,explicit,2021-07-12T13:37:11.000Z,1,0,0,.ncl.com,0,bm_sz,/,C5C9D97069BE32E623410FB16E790061~YAAQR5URYJXa/xh6AQAAst0TmgyrzrkJGMO2sv+5CKnvvFSBP8cU9+U8BIzBKFdFWthbJ+vyMjx2V66bK4F13kP2wy3GyyqFBghrtY0L7k0RppQGdWCLbQTcccHrlcvS580V/t6NQccLEnWV53D6V2YPdfPL/MhXuiuvIH4u3+YajlabICa9KDnKWQQ=,no_restriction,,firefox-default,2021-07-12T09:37:11.118Z
2,3,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,4,added-or-changed,explicit,2022-07-12T09:37:11.000Z,0,0,0,.ncl.com,0,_abck,/,7C29EE0819F65C7B0D9EFD2D481BB44F~-1~YAAQR5URYJba/xh6AQAAst0TmgYgWhzcNJtR6Vb6PwMESeVttNWzgex8jCOVW45vK1ZllEzgEecx1tqTRCXaHQArtKb8ic7hZ13PZGIcNnZLbvvjYJKhTlYkJUOoWgBP5eVNAR9gJOkdO5/uUE3oyI+Tvm47xYmXxIw7q5kL0N2g+3g2Zh2DHhBw+6sRJKezsi0oaugjUG22obq5Ul0rln/G06c5mGyGsyn8qFH2BT4wh6RHsZYCa/vWwIr9+gSx76N76VVYLZcuCJXWyU5C0e8IDmqOkn+UkCxLKYRvlJZJ6/AceF4JTBvqVBWid+eVe2VMCM1h+zZWoylKM1YTBmen2CC6~-1~-1~-1,no_restriction,,firefox-default,2021-07-12T09:37:11.119Z
3,4,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,7,added-or-changed,explicit,2022-01-08T09:37:11.000Z,0,0,0,.ncl.com,1,optimizelyEndUserId,/,2f9511601e300000470dec601b0200005e5f0300,no_restriction,,firefox-default,2021-07-12T09:37:11.670Z
4,5,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,8,added-or-changed,explicit,2021-07-19T09:37:11.000Z,0,0,0,.ncl.com,1,ak_location,/,"US,IA,IOWACITY,637",no_restriction,,firefox-default,2021-07-12T09:37:11.671Z
5,6,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,9,added-or-changed,explicit,2021-07-19T09:37:11.000Z,0,0,0,.ncl.com,1,Ncl_region,/,IA,no_restriction,,firefox-default,2021-07-12T09:37:11.686Z
6,7,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,10,added-or-changed,explicit,2021-07-19T09:37:11.000Z,0,1,0,www.ncl.com,1,ak_country,/,USA,no_restriction,,firefox-default,2021-07-12T09:37:11.687Z
7,8,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,11,added-or-changed,explicit,2028-07-15T09:37:11.000Z,1,0,0,.ncl.com,1,AkaUTrackingID,/,173.27.3.190104.71.221.1621626082631Mozilla/5.0 (Android 11,no_restriction,,firefox-default,2021-07-12T09:37:11.688Z
8,9,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,12,added-or-changed,explicit,9999-12-31T21:59:59.000Z,1,0,1,.ncl.com,1,AkaSTrackingID,/,173.27.3.190104.71.221.1621626082631Mozilla/5.0 (Android 11,no_restriction,,firefox-default,2021-07-12T09:37:11.689Z
9,10,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,13,added-or-changed,explicit,9999-12-31T21:59:59.000Z,0,0,1,.ncl.com,1,ak_long,/,-91.4517,no_restriction,,firefox-default,2021-07-12T09:37:11.689Z
10,11,72313027,2904645121675998,6b8a7e42-c633-420e-9d2c-fc4e638589c4,14,added-or-changed,explicit,9999-12-31T21:59:59.000Z,0,0,1,.ncl.com,1,ak_lat,/,41.6899,no_restriction,,firefox-default,2021-07-12T09:37:11.692Z
