index,id,incognito,browser_id,visit_id,old_request_url,old_request_id,new_request_url,new_request_id,extension_session_uuid,event_ordinal,window_id,tab_id,frame_id,response_status,response_status_text,headers,time_stamp
0,1,0,718011058,3440779644236795,http://www.ncl.com/,13,https://www.ncl.com/,,4cd3ee81-0a00-49bf-9a96-90f307a91abb,5,1,1,0,301,HTTP/1.1 301 Moved Permanently,"[[""Server"",""AkamaiGHost""],[""Content-Length"",""0""],[""Location"",""https://www.ncl.com/""],[""Date"",""Wed, 14 Jul 2021 05:22:50 GMT""],[""Connection"",""keep-alive""],[""Set-Cookie"",""optimizelyEndUserId=479511609c150000aa74ee60c0010000acb30300; expires=Mon, 10-Jan-2022 05:22:50 GMT; path=/; domain=.ncl.com; secure; SameSite=None\nak_location=US,IA,IOWACITY,637; expires=Wed, 21-Jul-2021 05:22:50 GMT; path=/; domain=.ncl.com; secure\nNcl_region=IA; expires=Wed, 21-Jul-2021 05:22:50 GMT; path=/; domain=.ncl.com; secure\nak_country=USA; expires=Wed, 21-Jul-2021 05:22:50 GMT; path=/; secure\nAkaUTrackingID=173.27.3.190104.71.221.1621626240170Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0 Firefox/89.0/TeaLeafLongTokenGeneration; expires=Mon, 17-Jul-2028 05:22:50 GMT; path=/; HttpOnly; domain=.ncl.com; secure\nAkaSTrackingID=173.27.3.190104.71.221.1621626240170Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0 Firefox/89.0/TeaLeafLongTokenGeneration; path=/; HttpOnly; domain=.ncl.com; secure\nak_long=-91.4517; path=/; domain=.ncl.com; secure\nak_lat=41.6899; path=/; domain=.ncl.com; secure\nncl_dark_prod=true; expires=Mon, 31-Dec-2038 23:59:59 GMT; path=/; domain=.ncl.com; secure\nakaalb_www_ncl_alb=~op=www_prod_new:prod_www_new|~rv=75~m=prod_www_new:0|~os=5041aa2c50a20f17379585bbefdfedb9~id=81f7e0b8be88c67515e26c1e80e8f5ce; path=/\n_abck=E3B4503C6AC5C2F8EBCC31B9F8986E9D~-1~YAAQR5URYIZmCxl6AQAA0Ll3owYytpimhswV1Xfw4iec61gt63vGbjuSVApgCQozjeN2cgeTGjYU9D/ydQHwXqa/+rhDmSJsVPIyG/0gIoDAmZqCsiyBXuxu1eLNqkBOKuEeDlONaIFpbTydbWhbSwPYSsFdwWFicpc3Ey4/tzXYeqjl0gGFtdXK+n+JBnVln1Cde+EGGTWKBVp0CL1R/Xm8IfHEV4aRaXXOFkjw0DYfs9F8Lgo03qWYfPEalAGs921YBGqlh1jA3zj7NsuP2r3RESztbEj0EoS2zzUQAoEDzFRdYAYeDz8E+GZ9N594DM63x4mLd+bo8L5K5VtcsXLy2sAY~-1~-1~-1; Domain=.ncl.com; Path=/; Expires=Thu, 14 Jul 2022 05:22:50 GMT; Max-Age=31536000\nbm_sz=A082CF39D36DB878FD5563ED6CA46800~YAAQR5URYIdmCxl6AQAA0Ll3oww5niowJIrlEiIIXTLEYk06miGAuH+NnElnMXny4YfGm+drpVgad3hVlQUL1rBC9s9vLufChhhhdqiwCavQLuYvybh7agswGwYWFs5dlZVnDsyIu3lljiNzPjeQUCyx99j2H8vF9pYeIYgjxI8iGTzJOccOe7K/9YVSq5eocFv50KnW6gL+7JFJh/uWmpdsbwzwrx2Oodxy6Qqb97MKW1/GoqmR1+SVgT9xOv7PKHxajlvekGR93J988Vs7G7/W+pJcNc0usR4SAhHSCRs=~3354690~3422533; Domain=.ncl.com; Path=/; Expires=Wed, 14 Jul 2021 09:22:50 GMT; Max-Age=14400""],[""Server-Timing"",""cdn-cache; desc=HIT, edge; dur=1""],[""Access-Control-Max-Age"",""86400""],[""Access-Control-Allow-Credentials"",""false""],[""Access-Control-Allow-Headers"",""*""],[""Access-Control-Allow-Methods"",""GET,POST""],[""Access-Control-Allow-Origin"",""*""]]",2021-07-14T05:22:50.652Z
1,2,0,718011058,3440779644236795,https://www.ncl.com/browse/dynamic-home-hero/IA,83,https://www.ncl.com/browse/dynamic-home-hero?state=IA&country=USA,,4cd3ee81-0a00-49bf-9a96-90f307a91abb,184,1,1,0,303,HTTP/2.0 303 See Other,"[[""location"",""/browse/dynamic-home-hero?state=IA&country=USA""],[""referrer-policy"",""origin-when-cross-origin, strict-origin-when-cross-origin""],[""x-frame-options"",""DENY""],[""x-xss-protection"",""1; mode=block""],[""x-content-type-options"",""nosniff""],[""x-permitted-cross-domain-policies"",""master-only""],[""content-length"",""0""],[""date"",""Wed, 14 Jul 2021 05:23:02 GMT""],[""set-cookie"",""BIGipServerpreprod2_www2.ncl.com_http=246065344.20480.0000; path=/; Httponly; Secure\noptimizelyEndUserId=2f9511602b430000ab74ee605d000000d4a70000; expires=Mon, 10-Jan-2022 05:23:02 GMT; path=/; domain=.ncl.com; secure; SameSite=None""],[""server-timing"",""cdn-cache; desc=MISS, edge; dur=28, origin; dur=26""],[""access-control-max-age"",""86400""],[""access-control-allow-credentials"",""false""],[""access-control-allow-headers"",""*""],[""access-control-allow-methods"",""GET,POST""],[""access-control-allow-origin"",""*""],[""strict-transport-security"",""max-age=31536000 ; includeSubDomains ; preload""],[""X-Firefox-Spdy"",""h2""]]",2021-07-14T05:23:02.803Z
2,3,0,718011058,3440779644236795,https://www.ncl.com/files/json/alerts.json?c=23,111,https://www.ncl.com/files/json/alerts.json?c=23,,4cd3ee81-0a00-49bf-9a96-90f307a91abb,557,1,1,0,0,,[],2021-07-14T05:23:06.533Z
3,4,0,718011058,3440779644236795,https://www.ncl.com/api/browse/v1/spotlight?state=IA&country=USA,112,https://www.ncl.com/api/browse/v1/spotlight?state=IA&country=USA,,4cd3ee81-0a00-49bf-9a96-90f307a91abb,559,1,1,0,0,,[],2021-07-14T05:23:06.563Z
4,5,0,718011058,3440779644236795,"https://c.go-mpulse.net/api/config.json?key=TCZKH-A3E5K-R7UEE-8AYTU-FWV9Y&d=www.ncl.com&t=5420801&v=1.720.0&sl=0&si=6608fbaa-0eef-46e6-9143-3f0170eb6512-qw7yy2&plugins=AK,ConfigOverride,Continuity,PageParams,IFrameDelay,AutoXHR,SPA,History,Angular,Backbone,Ember,RT,CrossDomain,BW,PaintTiming,NavigationTiming,ResourceTiming,Memory,CACHE_RELOAD,Errors,TPAnalytics,UserTiming,Akamai,Early,EventTiming,LOGN&acao=&ak.ai=225862",113,"https://c.go-mpulse.net/api/config.json?key=TCZKH-A3E5K-R7UEE-8AYTU-FWV9Y&d=www.ncl.com&t=5420801&v=1.720.0&sl=0&si=6608fbaa-0eef-46e6-9143-3f0170eb6512-qw7yy2&plugins=AK,ConfigOverride,Continuity,PageParams,IFrameDelay,AutoXHR,SPA,History,Angular,Backbone,Ember,RT,CrossDomain,BW,PaintTiming,NavigationTiming,ResourceTiming,Memory,CACHE_RELOAD,Errors,TPAnalytics,UserTiming,Akamai,Early,EventTiming,LOGN&acao=&ak.ai=225862",,4cd3ee81-0a00-49bf-9a96-90f307a91abb,581,1,1,0,0,,[],2021-07-14T05:23:06.982Z
5,6,0,718011058,3440779644236795,https://cdn.cookielaw.org/scripttemplates/6.5.0/assets/otFlat.json,114,https://cdn.cookielaw.org/scripttemplates/6.5.0/assets/otFlat.json,,4cd3ee81-0a00-49bf-9a96-90f307a91abb,582,1,1,0,0,,[],2021-07-14T05:23:06.982Z
6,7,0,718011058,3440779644236795,https://cdn.cookielaw.org/scripttemplates/6.5.0/assets/v2/otPcCenter.json,115,https://cdn.cookielaw.org/scripttemplates/6.5.0/assets/v2/otPcCenter.json,,4cd3ee81-0a00-49bf-9a96-90f307a91abb,583,1,1,0,0,,[],2021-07-14T05:23:06.982Z
7,8,0,718011058,3440779644236795,https://www.ncl.com/sites/default/files/Prima-747x550.jpg,116,https://www.ncl.com/sites/default/files/Prima-747x550.jpg,,4cd3ee81-0a00-49bf-9a96-90f307a91abb,831,1,1,0,0,,[],2021-07-14T05:23:08.989Z
8,9,0,718011058,3440779644236795,https://www.ncl.com/sites/default/files/747x550-fun-sun-beach-cruise-vacation_0.jpg,117,https://www.ncl.com/sites/default/files/747x550-fun-sun-beach-cruise-vacation_0.jpg,,4cd3ee81-0a00-49bf-9a96-90f307a91abb,832,1,1,0,0,,[],2021-07-14T05:23:08.989Z
9,10,0,718011058,3440779644236795,https://tags.tiqcdn.com/utag/ncl/main/prod/utag.js,118,https://tags.tiqcdn.com/utag/ncl/main/prod/utag.js,,4cd3ee81-0a00-49bf-9a96-90f307a91abb,833,1,1,0,0,,[],2021-07-14T05:23:08.990Z
